tipo,cant_threads,input_dim,hidden_neurons,output_dim,epochs,dataset_elements,total_mult_en_ciclos,nops_stalls,ciclos_simulados,context_switches,tiempo_ejecucion_s
cgmt,2,3,30,1,500,500,66012000,1000200,69212200,800200,29.908161
normal,0,3,30,1,500,500,66012000,1000200,74013600,0,0.282270
fgmt,2,3,30,1,500,500,66012000,1000000,207424000,66012000,215.020304
cgmt,2,3,30,1,500,500,66012000,1000000,70012000,800000,29.727848
normal,0,3,30,1,500,500,66012000,1000000,74012000,0,0.248796
fgmt,3,3,30,1,500,500,66012000,1000200,205624800,66012000,279.517084
cgmt,3,3,30,1,500,500,66012000,1000200,68212200,1000200,39.481802
normal,0,3,30,1,500,500,66012000,1000200,74013600,0,0.278284
fgmt,3,3,30,1,500,500,66012000,800200,204824400,66012000,284.884136
cgmt,3,3,30,1,500,500,66012000,800200,69412900,600100,35.411053
normal,0,3,30,1,500,500,66012000,800200,72413600,0,0.289682
fgmt,3,3,30,1,500,500,66012000,1800200,204824592,66012000,286.015386
cgmt,3,3,30,1,500,500,66012000,1800200,73012900,1400126,36.693302
normal,0,3,30,1,500,500,66012000,1800200,80413600,0,0.267347
fgmt,3,3,30,1,500,500,66012000,1400100,204824968,66012000,285.596373
cgmt,3,3,30,1,500,500,66012000,1400100,73212750,800010,36.029091
normal,0,3,30,1,500,500,66012000,1400100,77212800,0,0.299446
fgmt,3,3,30,1,500,500,66012000,1800600,208826400,66012000,285.406761
cgmt,3,3,30,1,500,500,66012000,1800600,72413300,1200500,38.579651
normal,0,3,30,1,500,500,66012000,1800600,80416800,0,0.268882
fgmt,3,3,30,1,500,500,66012000,1200200,205624800,66012000,286.372374
cgmt,3,3,30,1,500,500,66012000,1200200,69612200,1000200,39.283981
normal,0,3,30,1,500,500,66012000,1200200,74613600,0,0.246774
fgmt,3,3,30,1,500,500,66012000,1800500,207625872,66012000,287.920415
cgmt,3,3,30,1,500,500,66012000,1800500,72013900,1400300,40.244844
normal,0,3,30,1,500,500,66012000,1800500,79416000,0,0.272027
fgmt,3,3,30,1,500,500,66012000,1000400,207225600,66012000,281.966730
cgmt,3,3,30,1,500,500,66012000,1000400,67412400,1000400,37.049116
normal,0,3,30,1,500,500,66012000,1000400,74015200,0,0.233826
fgmt,3,3,30,1,500,500,66012000,600100,204824400,66012000,278.983644
cgmt,3,3,30,1,500,500,66012000,600100,70812800,0,29.672402
normal,0,3,30,1,500,500,66012000,600100,70812800,0,0.247845
fgmt,3,3,30,1,500,500,66012000,1000400,207225600,66012000,277.775646
cgmt,3,3,30,1,500,500,66012000,1000400,71014200,600200,33.084762
normal,0,3,30,1,500,500,66012000,1000400,74015200,0,0.224651
fgmt,3,3,30,1,500,500,66012000,1400100,204824400,66012000,277.725144
cgmt,3,3,30,1,500,500,66012000,1400100,71412800,1200000,37.568038
normal,0,3,30,1,500,500,66012000,1400100,77212800,0,0.236572
