tipo,cant_threads,input_dim,hidden_neurons,output_dim,epochs,dataset_elements,total_mult_en_ciclos,nops_stalls,ciclos_simulados,context_switches,tiempo_ejecucion_s
normal,0,3,30,1,500,500,66012000,1800300,80414400,0,0.262480
normal,0,3,30,1,500,500,66012000,1000200,74013600,0,0.265281
normal,0,3,30,1,500,500,66012000,800200,72413600,0,0.262145
normal,0,3,30,1,500,500,66012000,1800300,80414400,0,0.203769
normal,0,3,30,1,500,500,66012000,1000200,74013600,0,0.189915
normal,0,3,30,1,500,500,66012000,800200,72413600,0,0.191380
